KAPPL	KSCHL	VKORG	ZZ_MVGR5	KUNNR	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYCF	AAP	142218	2016/12/31	1377	2016/01/01	0004182212
V	ZRP1	SYCF	AAP	150571	2015/12/31	949	2015/04/01	0003948853
V	ZRP1	SYCF	AAP	150571	2016/12/31	1377	2016/01/01	0004182211
V	ZRP1	SYCF	AAP	158985	2015/12/31	949	2015/04/01	0003948837
V	ZRP1	SYCF	AAP	158985	2016/12/31	1377	2016/01/01	0004182210
V	ZRP1	SYCF	AAP	161663	2015/12/31	949	2015/04/01	0003948848
V	ZRP1	SYCF	AAP	161663	2016/12/31	1377	2016/01/01	0004182209
V	ZRP1	SYCF	BOD	101813	2015/12/31	967	2015/04/01	0003947776
V	ZRP1	SYCF	BOD	101813	2016/12/31	1392	2016/01/01	0004182623
V	ZRP1	SYCF	BOD	103726	2015/12/31	967	2015/04/01	0003947777
V	ZRP1	SYCF	BOD	103726	2016/12/31	1392	2016/01/01	0004182622
V	ZRP1	SYCF	BOD	103866	2015/12/31	967	2015/04/01	0003947780
V	ZRP1	SYCF	BOD	103866	2016/12/31	1392	2016/01/01	0004182621
V	ZRP1	SYCF	BOD	108023	2015/12/31	967	2015/04/01	0003947786
V	ZRP1	SYCF	BOD	108023	2016/12/31	1392	2016/01/01	0004182620
V	ZRP1	SYCF	BOD	110697	2015/12/31	967	2015/04/01	0003947787
V	ZRP1	SYCF	BOD	110697	2016/12/31	1392	2016/01/01	0004182619
V	ZRP1	SYCF	BOD	111796	2015/12/31	967	2015/04/01	0003947788
V	ZRP1	SYCF	BOD	111796	2016/12/31	1392	2016/01/01	0004182618
V	ZRP1	SYCF	BOD	114202	2015/12/31	967	2015/04/01	0003947789
V	ZRP1	SYCF	BOD	114202	2016/12/31	1392	2016/01/01	0004182617
V	ZRP1	SYCF	BOD	114410	2015/12/31	967	2015/04/01	0003947791
V	ZRP1	SYCF	BOD	114410	2016/12/31	1392	2016/01/01	0004182616
V	ZRP1	SYCF	BOD	114602	2015/12/31	967	2015/04/01	0003947795
V	ZRP1	SYCF	BOD	114602	2016/12/31	1392	2016/01/01	0004182615
V	ZRP1	SYCF	BOD	120451	2015/12/31	967	2015/04/01	0003947794
V	ZRP1	SYCF	BOD	120451	2016/12/31	1392	2016/01/01	0004182614
V	ZRP1	SYCF	BOD	135647	2015/12/31	967	2015/04/01	0003947792
V	ZRP1	SYCF	BOD	135647	2016/12/31	1392	2016/01/01	0004182613
V	ZRP1	SYCF	BOD	135852	2015/12/31	967	2015/04/01	0003947793
V	ZRP1	SYCF	BOD	135852	2016/12/31	1392	2016/01/01	0004182612
V	ZRP1	SYCF	BOD	136387	2015/12/31	967	2015/04/01	0003947796
V	ZRP1	SYCF	BOD	136387	2016/12/31	1392	2016/01/01	0004182611
V	ZRP1	SYCF	BOD	137740	2015/12/31	967	2015/04/01	0003947785
V	ZRP1	SYCF	BOD	137740	2016/12/31	1392	2016/01/01	0004182610
V	ZRP1	SYCF	BOD	138155	2015/12/31	967	2015/04/01	0003947790
V	ZRP1	SYCF	BOD	138155	2016/12/31	1392	2016/01/01	0004182609
V	ZRP1	SYCF	BOD	139210	2015/12/31	967	2015/04/01	0003947782
V	ZRP1	SYCF	BOD	139210	2016/12/31	1392	2016/01/01	0004182608
V	ZRP1	SYCF	BOD	139217	2015/12/31	967	2015/04/01	0003947778
V	ZRP1	SYCF	BOD	139217	2016/12/31	1392	2016/01/01	0004182607
V	ZRP1	SYCF	BOD	139218	2015/12/31	967	2015/04/01	0003947779
V	ZRP1	SYCF	BOD	139218	2016/12/31	1392	2016/01/01	0004182606
V	ZRP1	SYCF	BOD	142211	2015/12/31	967	2015/04/01	0003947781
V	ZRP1	SYCF	BOD	142211	2016/12/31	1392	2016/01/01	0004182605
V	ZRP1	SYCF	BOD	142218	2015/12/31	967	2015/04/01	0003947784
V	ZRP1	SYCF	BOD	142218	2016/12/31	1392	2016/01/01	0004182604
V	ZRP1	SYCF	BOD	150571	2015/12/31	967	2015/04/01	0003947797
V	ZRP1	SYCF	BOD	150571	2016/12/31	1392	2016/01/01	0004182603
V	ZRP1	SYCF	BOD	158985	2015/12/31	967	2015/04/01	0003947783
V	ZRP1	SYCF	BOD	158985	2016/12/31	1392	2016/01/01	0004182602
V	ZRP1	SYCF	CCR	101813	2015/12/31	956	2015/04/01	0003948452
V	ZRP1	SYCF	CCR	101813	2016/12/31	1384	2016/01/01	0004182441
V	ZRP1	SYCF	CCR	102356	2015/12/31	956	2015/04/01	0003948486
V	ZRP1	SYCF	CCR	102356	2016/12/31	1384	2016/01/01	0004182442
V	ZRP1	SYCF	CCR	103239	2015/12/31	956	2015/04/01	0003948485
V	ZRP1	SYCF	CCR	103239	2016/12/31	1384	2016/01/01	0004182443
V	ZRP1	SYCF	CCR	103726	2015/12/31	956	2015/04/01	0003948453
V	ZRP1	SYCF	CCR	103726	2016/12/31	1384	2016/01/01	0004182444
V	ZRP1	SYCF	CCR	103866	2015/12/31	956	2015/04/01	0003948456
V	ZRP1	SYCF	CCR	103866	2016/12/31	1384	2016/01/01	0004182445
V	ZRP1	SYCF	CCR	108023	2015/12/31	956	2015/04/01	0003948462
V	ZRP1	SYCF	CCR	108023	2016/12/31	1384	2016/01/01	0004182446
V	ZRP1	SYCF	CCR	109454	2015/12/31	956	2015/04/01	0003948469
V	ZRP1	SYCF	CCR	109454	2016/12/31	1384	2016/01/01	0004182447
V	ZRP1	SYCF	CCR	110697	2015/12/31	956	2015/04/01	0003948463
V	ZRP1	SYCF	CCR	110697	2016/12/31	1384	2016/01/01	0004182448
V	ZRP1	SYCF	CCR	110933	2015/12/31	956	2015/04/01	0003948483
V	ZRP1	SYCF	CCR	110933	2016/12/31	1384	2016/01/01	0004182449
V	ZRP1	SYCF	CCR	111796	2015/12/31	956	2015/04/01	0003948464
V	ZRP1	SYCF	CCR	111796	2016/12/31	1384	2016/01/01	0004182450
V	ZRP1	SYCF	CCR	111925	2015/12/31	956	2015/04/01	0003948475
V	ZRP1	SYCF	CCR	111925	2016/12/31	1384	2016/01/01	0004182451
V	ZRP1	SYCF	CCR	114202	2015/12/31	956	2015/04/01	0003948465
V	ZRP1	SYCF	CCR	114202	2016/12/31	1384	2016/01/01	0004182452
V	ZRP1	SYCF	CCR	114410	2015/12/31	956	2015/04/01	0003948467
V	ZRP1	SYCF	CCR	114410	2016/12/31	1384	2016/01/01	0004182453
V	ZRP1	SYCF	CCR	114602	2015/12/31	956	2015/04/01	0003948478
V	ZRP1	SYCF	CCR	114602	2016/12/31	1384	2016/01/01	0004182454
V	ZRP1	SYCF	CCR	119789	2015/12/31	956	2015/04/01	0003948472
V	ZRP1	SYCF	CCR	119789	2016/12/31	1384	2016/01/01	0004182455
V	ZRP1	SYCF	CCR	120451	2015/12/31	956	2015/04/01	0003948477
V	ZRP1	SYCF	CCR	120451	2016/12/31	1384	2016/01/01	0004182456
V	ZRP1	SYCF	CCR	121059	2015/12/31	956	2015/04/01	0003948481
V	ZRP1	SYCF	CCR	121059	2016/12/31	1384	2016/01/01	0004182457
V	ZRP1	SYCF	CCR	135647	2015/12/31	956	2015/04/01	0003948468
V	ZRP1	SYCF	CCR	135647	2016/12/31	1384	2016/01/01	0004182458
V	ZRP1	SYCF	CCR	135852	2015/12/31	956	2015/04/01	0003948476
V	ZRP1	SYCF	CCR	135852	2016/12/31	1384	2016/01/01	0004182459
V	ZRP1	SYCF	CCR	136387	2015/12/31	956	2015/04/01	0003948479
V	ZRP1	SYCF	CCR	136387	2016/12/31	1384	2016/01/01	0004182460
V	ZRP1	SYCF	CCR	137740	2015/12/31	956	2015/04/01	0003948461
