Item Num,Item Description,Material Status,OH Qty,OH Cost,Landed Cost,Excess 6 Mo.,Excess 6M C,Gr.Req.6Mo,Gr.Req.6M C,MOQ,Gr.Req.7Mo,Gr.Req.7M C,GrReg7-12less,Hist 6 Mo,Hist 6M CST,Hist 12 Mo,Hist 12M CS,Merc Type,Product Hierarchy,Brand,Category,Sub-Category,ABC,Ticketed For,MSRP,MAP,SAP,New MSRP,MSSP,Tckt Prc,Plant,Inner Pack,Master Pack,Catlg Prc,Profit Ctr,MRP Controller,Sfty Ind.,Sfty wkdays,UPC #,Excess 9 Mo.,Excess 9M C,Gr.Req.9Mo,Gr.Req.9M C,Material Text1,Material Text2,Material Text3,Material Text4,Material Text5,Material Text6,Material Text7,XDst Status,Mate
5080574,MKSA SILK FLORAL PINK 9IN VEG,40,144,1008,7,131,917,13,91,0,0,0,0,43,301,135,945,BXD,MIKASA DINNERWARE TRANSITIONAL,MIKASA,DINNERWARE,TRANSITIONAL,C,,0,0,0,58,39.99,0,SYML,0,4,20,40050,505,,0,8.85991E+11,131,917,13,91,,,,,,,,,ZITM
5133298,PFZ DOG FIRE HYDRANT 4.5IN S A,10,1157,1666.08,1.44,636,915.84,521,750.24,1000,508,0,     492.000-,670,972.46,1249,1838.32,BXD,PFALTZGRAFF DINNERWARE CASUAL DINNERWARE,PFALTZGRAFF,DINNERWARE,CASUAL DINNERWARE,C,,0,0,0,7.99,5.99,0,SYML,4,16,3,40040,511,,0,25398117833,334,480.96,823,1185.12,,,,,,,,,ZITM
5149664,FW COLR SPATULA I WANT YOU TO,10,984,915.12,0.93,984,915.12,0,0,3600,0,0,    3600.000-,0,0,642,609.9,OSH,FARBERWARE GADGETS BAKING ITEMS,FARBERWARE,GADGETS,BAKING ITEMS,C,,0,0,4.99,5.99,0,0,SYML,3,36,2.5,40005,402,,0,24131306732,984,915.12,0,0,,,,,,,,,ZITM
5112054,PFZE RSTC LEAVS 12OZ MUG OS,10,1007,1097.63,1.09,839,914.51,168,183.12,1000,0,0,    1000.000-,252,274.68,252,274.68,OSS,PFALTZGRAFF DINNERWARE CASUAL DINNERWARE,PFALTZGRAFF,DINNERWARE,CASUAL DINNERWARE,C,,0,0,0,5.99,3.99,0,SYML,0,6,1.5,40040,511,,0,25398104505,839,914.51,168,183.12,,,,,,,,,ZITM
5116279,MKSA ITALCS 8.5IN ACCT PLT TUS,21,525,1149.75,2.19,417,913.23,108,236.52,1008,146,0,     862.000-,165,361.35,291,637.29,OSS,MIKASA-DTC DINNERWARE,MIKASA-DTC,DINNERWARE,,C,,0,0,0,21.5,14.99,0,SYML,6,24,7.5,25100,501,,0,25398107070,345,755.55,180,394.2,,,,,,,,,ZITM
47919100,PFZ NAPOLI DESSERT BOWL DOLOMI,10,873,1213.47,1.39,657,913.23,216,300.24,0,172,0,172,0,0,0,0,OSS,PFALTZGRAFF DINNERWARE CASUAL DINNERWARE,PFALTZGRAFF,DINNERWARE,CASUAL DINNERWARE,C,9999,0,0,0,0,0,0,SYML,4,4,4,25100,511,,0,25398904570,485,674.15,388,539.32,,,,,,,,,ZITM
5152970,BOMBAY ESSEX SET OF 4 COCKTAIL,10,898,1715.18,1.91,478,912.98,420,802.2,1,0,0,       1.000-,1142,2200.21,2102,4072.21,BXD,BOMBAY SS FLTWRE,BOMBAY,SS FLTWRE,,C,,0,0,0,8,0,0,SYML,6,24,4,US-METALS,513,1,0,28225782822,478,912.98,420,802.2,,,,,,,,,ZITM
5142305,MIKASA RB GOLD PRCD SERVING SP,10,630,1619.1,2.57,355,912.35,275,706.75,1,97,0,96,2685,6886.47,3241,8115.23,BXD,MIKASA SS FLTWRE,MIKASA,SS FLTWRE,,C,,0,0,0,22.5,14.99,0,SYML,4,24,7.5,US-METALS,513,1,0,8.85991E+11,288,740.16,342,878.94,,,,,,,,,ZITM
5110196,MKSA SUTTN CRIM 12.5IN RND PLT,21,248,1872.4,7.55,120,906,128,966.4,1000,90,0,     910.000-,4,30.2,9,69.36,BXD,MIKASA DINNERWARE CASUAL DINNERWARE,MIKASA,DINNERWARE,CASUAL DINNERWARE,C,,0,0,0,58,39.99,0,SYML,6,18,20,40050,505,,0,8.85991E+11,30,226.5,218,1645.9,,,,,,,,,ZITM
5120380,MKSA KALINI SMOKE 7.5IN CEREAL,21,415,1290.65,3.11,291,905.01,124,385.64,1200,90,0,    1110.000-,29,90.19,136,421.8,BXD,MIKASA DINNERWARE CASUAL DINNERWARE,MIKASA,DINNERWARE,CASUAL DINNERWARE,C,,0,0,0,15,9.99,0,SYML,6,12,5,40050,505,,0,8.85991E+11,201,625.11,214,665.54,,,,,,,,,ZITM
5079276,MKSA GB POP FOR CONTEMPO AND D,21,28,903.56,32.27,28,903.56,0,0,431,0,0,     431.000-,0,0,0,0,BXD,MKSA GRMET BASICS SS FLTWRE,MKSA GRMET BASICS,SS FLTWRE,,C,1309,0,0,0,1,0,0,SYML,0,1,1,US-METALS,513,,0,8.85991E+11,28,903.56,0,0,,,,,,,,,ZITM
5086323,MKSA PARADISE BLOOM 15OZ MUG,21,294,908.46,3.09,292,902.28,2,6.18,0,0,0,0,86,265.74,116,358.41,BXD,MIKASA DINNERWARE TRANSITIONAL,MIKASA,DINNERWARE,TRANSITIONAL,C,,0,0,0,19,12.99,0,SYML,4,12,6.5,40050,505,,0,8.85991E+11,292,902.28,2,6.18,,,,,,,,,ZITM
5156231,PFZE ROOSTER 18OZ MUG PORC COL,10,930,902.1,0.97,930,902.1,0,0,1800,0,0,    1800.000-,6,5.82,606,587.82,OSS,PFALTZGRAFF DINNERWARE CASUAL DINNERWARE,PFALTZGRAFF,DINNERWARE,CASUAL DINNERWARE,C,,0,0,0,4.99,3.99,0,SYML,0,6,2,40040,511,1,0,25398137572,930,902.1,0,0,,,,,,,,,ZITM
5141799,PFZ 16OZ MUG RED REACTIVE DOLC,10,805,901.6,1.12,805,901.6,0,0,2400,0,0,    2400.000-,0,0,0,0,OSS,PFALTZGRAFF DINNERWARE CASUAL DINNERWARE,PFALTZGRAFF,DINNERWARE,CASUAL DINNERWARE,C,,0,0,0,7,4.99,0,SYML,0,6,2.5,40040,511,,0,25398126958,805,901.6,0,0,,,,,,,,,ZITM
5161925,FW 40 PIECE FOOD STORAGE SET J,21,10703,62184.43,5.81,155,900.55,10548,61283.88,3000,0,0,    3000.000-,8145,47298.85,8145,47298.85,BXD,FARBERWARE FOOD STORAGE,FARBERWARE,FOOD STORAGE,,A,,0,0,0,24.99,19.99,0,SYML,0,6,12,40025,605,,0,37531045132,155,900.55,10548,61283.88,,,,,,,,,ZITM
5116290,MKSA ITALCS 8.5IN ACCT PT CNTR,21,519,1136.61,2.19,411,900.09,108,236.52,1008,146,0,     862.000-,145,317.55,277,606.63,OSS,MIKASA-DTC DINNERWARE,MIKASA-DTC,DINNERWARE,,C,,0,0,0,21.5,14.99,0,SYML,6,24,7.5,25100,501,,0,25398107018,339,742.41,180,394.2,,,,,,,,,ZITM
5142318,MIKASA REGENT BEAD GOLD ICE SC,10,546,1283.1,2.35,383,900.05,163,383.05,1,89,0,88,1255,2949.25,1646,3751.52,BXD,MIKASA SS FLTWRE,MIKASA,SS FLTWRE,,C,,0,0,0,22.5,14.99,0,SYML,4,24,7.5,US-METALS,513,1,0,8.85991E+11,322,756.7,224,526.4,,,,,,,,,ZITM
5127389,BOMBAY ESSEX 45PC 18.0,10,122,2888.96,23.68,38,899.84,84,1989.12,1,62,0,61,142,3361.72,325,7707.64,BXD,BOMBAY SS FLTWRE,BOMBAY,SS FLTWRE,,B,,0,0,0,150,99.99,0,SYML,0,2,50,US-METALS,513,1,0,28225694217,13,307.84,109,2581.12,,,,,,,,,ZITM
5119151,MKSA ITALCS COUNTRY GARDEN OVA,21,84,1539.72,18.33,49,898.17,35,641.55,300,62,0,     238.000-,119,2181.27,161,2951.13,BXD,MIKASA-DTC SERVEWARE,MIKASA-DTC,SERVEWARE,,C,,0,0,0,125,84.99,0,SYML,0,6,42.5,25100,501,,0,25398109685,6,109.98,78,1429.74,,,,,,,,,ZITM
7206113,DFL 24CT FL DSPLY GEN SHIPPER,10,537,897.86,1.672,537,897.86,0,0,500,0,0,     500.000-,0,0,0,0,FLD,DESIGN FOR LIVING PACKAGING,DESIGN FOR LIVING,PACKAGING,,C,,0,0,0,0,0,0,SYML,0,6,0,40025,801,1,0,24131251544,537,897.86,0,0,,,,,,,,,ZACC
5138070,PL CST PORC 3.5QT DUTCH OVEN O,10,554,8149.34,14.71,61,897.31,493,7252.03,0,0,0,0,798,11738.58,1076,15820.4,BXD,PRIVATE LABEL COOKWARE CI PRESEASONED,PRIVATE LABEL,COOKWARE,CI PRESEASONED,B,896,0,0,39.99,49.99,0,0,SYML,0,2,25.3,40020,303,,0,15388049855,61,897.31,493,7252.03,,,,,,,,,ZITM
DAR01-004,MKSA GINSENG 5pc Serve Set,40,24,896.88,37.37,24,896.88,0,0,0,0,0,0,6,224.22,6,224.22,,MIKASA DINNERWARE CASUAL DINNERWARE,MIKASA,DINNERWARE,CASUAL DINNERWARE,C,9999,314.5,0,0,314.5,219.99,0,SYML,0,1,157.25,40050,505,,0,6.41265E+11,24,896.88,0,0,,,,,,,,,ZITM
5149276,MKSA REESE COBALT 13.5IN OVAL,10,192,1459.2,7.6,118,896.8,74,562.4,600,12,0,     588.000-,0,0,18,136.8,BXD,MIKASA DINNERWARE CASUAL DINNERWARE,MIKASA,DINNERWARE,CASUAL DINNERWARE,C,,0,0,0,86,59.99,0,SYML,0,6,30,40050,505,,0,8.85991E+11,106,805.6,86,653.6,,,,,,,,,ZITM
AK050-250,MKSA ELEG SCROLL BLK Vegetable,21,60,912,15.2,59,896.8,1,15.2,0,0,0,0,4,60.8,4,60.8,OSS,MIKASA DINNERWARE FORMAL DINNERWARE,MIKASA,DINNERWARE,FORMAL DINNERWARE,C,9999,100,0,0,100,69.99,0,SYML,0,6,35,40050,505,,0,6.41265E+11,59,896.8,1,15.2,,,,,,,,,ZITM
5137377,GUY GMT 2PC SHEAR SET RED YELL,21,413,896.21,2.17,413,896.21,0,0,0,0,0,0,0,0,0,0,OSH,GUY FIERI CUTLERY SHEARS,GUY FIERI,CUTLERY,SHEARS,C,568,0,9.99,0,14.99,0,0,SYML,2,8,6,40010,310,,0,45908061159,413,896.21,0,0,,,,,,,,,ZITM
5142310,MIKASA RB GOLD LASAGNA SERVER,10,390,1251.9,3.21,279,895.59,111,356.31,1,108,0,107,1507,4837.47,1588,5069.12,BXD,MIKASA SS FLTWRE,MIKASA,SS FLTWRE,,C,,0,0,0,22.5,14.99,0,SYML,4,24,7.5,US-METALS,513,1,0,8.85991E+11,215,690.15,175,561.75,,,,,,,,,ZITM
7204967,21 X 10-1/2 X 6 - RCS ETC 32 K,10,1100,891,0.81,1100,891,0,0,500,0,0,     500.000-,0,0,0,0,PKG,MISC PACKAGING,MISC,PACKAGING,,C,,0,0,0,0,0,0,SYML,0,20,0,40590,801,1,0,24131227952,1100,891,0,0,,,,,,,,,ZACC
5110015,MKSA SUTTON WHT 12.5IN RD PLTR,21,238,1796.9,7.55,118,890.9,120,906,1000,90,0,     910.000-,5,37.75,28,211.4,BXD,MIKASA DINNERWARE CASUAL DINNERWARE,MIKASA,DINNERWARE,CASUAL DINNERWARE,C,,0,0,0,58,39.99,0,SYML,6,18,20,40050,505,,0,8.85991E+11,28,211.4,210,1585.5,,,,,,,,,ZITM
5116867,MKSA WESTON 4PC PLACE SETTING,21,95,1019.35,10.73,83,890.59,12,128.76,500,0,0,     500.000-,65,697.45,187,2022.11,BXD,MIKASA DINNERWARE CASUAL DINNERWARE,MIKASA,DINNERWARE,CASUAL DINNERWARE,C,,0,0,0,72,49.99,0,SYML,0,4,25,40050,505,,0,8.85991E+11,83,890.59,12,128.76,,,,,,,,,ZITM
5133843,PFZ WNTBR IRON SNOWMAN WINE BT,10,665,2999.15,4.51,197,888.47,468,2110.68,0,492,0,492,4865,21244.45,5861,25587.01,BXD,PFALTZGRAFF DINNERWARE CASUAL DINNERWARE,PFALTZGRAFF,DINNERWARE,CASUAL DINNERWARE,B,,0,0,0,40,19.99,0,SYML,0,6,10,40040,510,,0,25398118236,0,0,960,4329.6,,,,,,,,,ZITM
5110036,MKSA SUTTN CRIM 9.5IN RIM SP B,21,395,1275.85,3.23,275,888.25,120,387.6,1000,90,0,     910.000-,12,38.76,30,103.74,BXD,MIKASA DINNERWARE CASUAL DINNERWARE,MIKASA,DINNERWARE,CASUAL DINNERWARE,C,,0,0,0,22,14.99,0,SYML,6,24,7.5,40050,505,,0,8.85991E+11,185,597.55,210,678.3,,,,,,,,,ZITM
5075827,MKSA SCARLET VINE 4IN SUGAR BO,21,80,899.2,11.24,79,887.96,1,11.24,204,0,0,     204.000-,8,89.81,13,145.31,BXD,MIKASA DINNERWARE TRANSITIONAL,MIKASA,DINNERWARE,TRANSITIONAL,C,,0,0,0,72,49.99,0,SYML,0,12,25,40050,505,,0,8.85991E+11,79,887.96,1,11.24,,,,,,,,,ZITM
5109000,TOW LIV FLATWARE FOR 50PC POP,10,31,887.84,28.64,31,887.84,0,0,1,0,0,       1.000-,0,0,0,0,DSP,TOWLE LIVING SS FLTWRE BOXED ST,TOWLE LIVING,SS FLTWRE,BOXED ST,C,,0,0,0,0.01,0,0,SYML,0,1,0.01,US-METALS,513,1,0,44228027517,31,887.84,0,0,,,,,,,,,ZITM
5120321,SANDRA SPATULA WD HNDL MLTCLR,21,1069,887.27,0.83,1069,887.27,0,0,3600,0,0,    3600.000-,1,0.83,11,9.13,OSH,PRIVATE LABEL GADGETS BAKING ITEMS,PRIVATE LABEL,GADGETS,BAKING ITEMS,C,,0,0,0,2.99,0,0,SYML,3,36,1.44,40005,404,,0,24131258734,1069,887.27,0,0,,,,,,,,,ZITM
5005577,Towl Living Luxor 20.4 18.0 Fo,10,879,11462.16,13.04,68,886.72,811,10575.44,0,234,0,234,2051,26324.54,5124,69544,BXD,TOWLE LIVING SS FLTWRE BOXED ST,TOWLE LIVING,SS FLTWRE,BOXED ST,B,9999,0,50,0,90,59.99,0,SYML,0,4,30,US-METALS,513,1,0,44228012995,0,0,912,11892.48,,,,,,,,,ZITM
5152675,MKSA GB BLMNT BLK 28OZ JUMBO S,21,635,1022.35,1.61,550,885.5,85,136.85,1000,118,0,     882.000-,327,526.47,373,600.78,OSS,MIKASA-DTC SERVEWARE,MIKASA-DTC,SERVEWARE,,C,,0,0,0,14.5,9.99,0,SYML,0,6,5,25100,501,,0,25398134472,496,798.56,139,223.79,,,,,,,,,ZITM
5150643,MKSA RYDER BEIGE 9.75IN VEG BO,10,158,1270.32,8.04,110,884.4,48,385.92,240,0,0,     240.000-,4,32.16,52,413.76,BXD,MIKASA DINNERWARE CASUAL DINNERWARE,MIKASA,DINNERWARE,CASUAL DINNERWARE,C,,0,0,0,58,39.99,0,SYML,0,6,20,40050,505,,0,8.85991E+11,110,884.4,48,385.92,,,,,,,,,ZITM
KN3PSTSFPASS,KA 3PC SS-RED KNIVES W-SHEATHS,21,91,880.24,9.673,91,880.24,0,0,0,0,0,0,0,0,6,57.9,PLD,KITCHENAID CUTLERY,KITCHENAID,CUTLERY,,C,893,0,24.88,0,35,0,0,SYML,0,48,19.95,40010,251,,0,45908045722,91,880.24,0,0,,,,,,,,,ZITM
5151208,GUY SS 8IN FRY PAN OS WM,21,212,1579.4,7.45,118,879.1,94,700.3,3000,24,0,    2976.000-,17,134.57,502,5130.07,OSS,GUY FIERI COOKWARE SS FABR BOTTOM,GUY FIERI,COOKWARE,SS FABR BOTTOM,C,568,0,24.97,24.99,29.99,0,0,SYML,0,3,15,40020,311,,0,15388054040,104,774.8,108,804.6,,,,,,,,,ZITM
