KAPPL	KSCHL	VKORG	MATNR	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYCF	GMBEAR	2015/12/31	1169	2015/04/01	3930225
V	ZRP1	SYCF	GMBEAR	2016/12/31	1496	2016/01/01	4183814
V	ZRP1	SYCF	GMFISH	2016/12/31	1496	2016/01/01	4272334
V	ZRP1	SYCF	GMWORM	2016/12/31	1496	2016/01/01	4272333
V	ZRP1	SYCF	HAST	2015/12/31	1169	2015/04/01	3930226
V	ZRP1	SYCF	HAST	2016/12/31	1496	2016/01/01	4183813
V	ZRP1	SYCF	HBAR	2015/12/31	1169	2015/04/01	3930227
V	ZRP1	SYCF	HBAR	2016/12/31	1496	2016/01/01	4183812
V	ZRP1	SYCF	HEREK	2015/12/31	1170	2015/04/01	3930262
V	ZRP1	SYCF	HEREK	2016/12/31	1497	2016/01/01	4183854
V	ZRP1	SYCF	HOPUP	2015/12/31	1169	2015/04/01	3930228
V	ZRP1	SYCF	HOPUP	2016/12/31	1496	2016/01/01	4183811
V	ZRP1	SYCF	ICEDAY	2015/12/31	1170	2015/04/01	3930263
V	ZRP1	SYCF	ICEDAY	2016/12/31	1497	2016/01/01	4183855
V	ZRP1	SYCF	IDA	2015/12/31	1135	2015/04/01	3930140
V	ZRP1	SYCF	IDA	2016/12/31	1462	2016/01/01	4183727
V	ZRP1	SYCF	IGLAM	2015/12/31	1169	2015/04/01	3930229
V	ZRP1	SYCF	IGLAM	2016/12/31	1496	2016/01/01	4183810
V	ZRP1	SYCF	LICK	2015/12/31	1165	2015/04/01	3930205
V	ZRP1	SYCF	LICK	2016/12/31	1492	2016/01/01	4183794
V	ZRP1	SYCF	LUCKEY	2015/12/31	1142	2015/04/01	3930150
V	ZRP1	SYCF	LUCKEY	2016/12/31	1469	2016/01/01	4183737
V	ZRP1	SYCF	LUMP	2015/12/31	1170	2015/04/01	3930264
V	ZRP1	SYCF	LUMP	2016/12/31	1497	2016/01/01	4183856
V	ZRP1	SYCF	MINK	2015/12/31	1129	2015/04/01	3930128
V	ZRP1	SYCF	MINK	2016/12/31	1456	2016/01/01	4183715
V	ZRP1	SYCF	MIX	2015/12/31	1149	2015/04/01	3930169
V	ZRP1	SYCF	MIX	2015/12/31	1169	2015/04/01	3930230
V	ZRP1	SYCF	MIX	2016/12/31	1476	2016/01/01	4183757
V	ZRP1	SYCF	MIX	2016/12/31	1496	2016/01/01	4183809
V	ZRP1	SYCF	MMMUG	2015/12/31	1129	2015/04/01	3930129
V	ZRP1	SYCF	MMMUG	2016/12/31	1456	2016/01/01	4183716
V	ZRP1	SYCF	MRR	2015/12/31	1149	2015/04/01	3930170
V	ZRP1	SYCF	MRR	2016/12/31	1476	2016/01/01	4183758
V	ZRP1	SYCF	OPENS	2015/12/31	1121	2015/04/01	3930107
V	ZRP1	SYCF	OPENS	2016/12/31	1448	2016/01/01	4183693
V	ZRP1	SYCF	OUCUT	2015/12/31	1169	2015/04/01	3930231
V	ZRP1	SYCF	OUCUT	2016/12/31	1496	2016/01/01	4183808
V	ZRP1	SYCF	OUTC	2015/12/31	1156	2015/04/01	3930183
V	ZRP1	SYCF	OUTC	2016/12/31	1483	2016/01/01	4183772
V	ZRP1	SYCF	PICKLE	2015/12/31	1169	2015/04/01	3930232
V	ZRP1	SYCF	PICKLE	2016/12/31	1496	2016/01/01	4183807
V	ZRP1	SYCF	PICO	2015/12/31	1169	2015/04/01	3930233
V	ZRP1	SYCF	PICO	2016/12/31	1496	2016/01/01	4183806
V	ZRP1	SYCF	POLL	2015/12/31	1121	2015/04/01	3930108
V	ZRP1	SYCF	POLL	2016/12/31	1448	2016/01/01	4183694
V	ZRP1	SYCF	RANDB	2015/12/31	1169	2015/04/01	3930234
V	ZRP1	SYCF	RANDB	2016/12/31	1496	2016/01/01	4183805
V	ZRP1	SYCF	SAYC	2015/12/31	1170	2015/04/01	3930265
V	ZRP1	SYCF	SAYC	2016/12/31	1497	2016/01/01	4183857
V	ZRP1	SYCF	SPIKED	2015/12/31	1170	2015/04/01	3930266
V	ZRP1	SYCF	SPIKED	2016/12/31	1497	2016/01/01	4183858
V	ZRP1	SYCF	STOPUP	2015/12/31	1145	2015/04/01	3930159
V	ZRP1	SYCF	STOPUP	2016/12/31	1472	2016/01/01	4183745
V	ZRP1	SYCF	SVIEW	2015/12/31	1158	2015/04/01	3930195
V	ZRP1	SYCF	SVIEW	2016/12/31	1485	2016/01/01	4183784
V	ZRP1	SYCF	SWTEA	2015/12/31	1145	2015/04/01	3930160
V	ZRP1	SYCF	SWTEA	2016/12/31	1472	2016/01/01	4183746
V	ZRP1	SYCF	TCAKE	2015/12/31	1121	2015/04/01	3930109
V	ZRP1	SYCF	TCAKE	2016/12/31	1448	2016/01/01	4183695
V	ZRP1	SYCF	TNB	2015/12/31	1177	2015/04/01	3930284
V	ZRP1	SYCF	TNB	2016/12/31	1504	2016/01/01	4183876
V	ZRP1	SYCF	TSPINS	2015/12/31	1169	2015/04/01	3930235
V	ZRP1	SYCF	TSPINS	2016/12/31	1496	2016/01/01	4183804
V	ZRP1	SYCF	TUFFD	2015/12/31	1156	2015/04/01	3930184
V	ZRP1	SYCF	TUFFD	2016/12/31	1483	2016/01/01	4183773
V	ZRP1	SYCF	WAKEUP	2015/12/31	1149	2015/04/01	3930171
V	ZRP1	SYCF	WAKEUP	2016/12/31	1476	2016/01/01	4183759
V	ZRP1	SYCF	WINEM	2015/12/31	1156	2015/04/01	3930185
V	ZRP1	SYCF	WINEM	2016/12/31	1483	2016/01/01	4183774
V	ZRP1	SYCF	WPL	2015/12/31	1165	2015/04/01	3930206
V	ZRP1	SYCF	WPL	2016/12/31	1492	2016/01/01	4183795
V	ZRP1	SYUS	5130344	2015/12/31	900	2015/04/01	3928232
V	ZRP1	SYUS	5130344	2015/12/31	1020	2015/04/01	3929673
V	ZRP1	SYUS	5130344	2016/12/31	1337	2016/01/01	4182046
V	ZRP1	SYUS	5130344	2016/12/31	1415	2016/01/01	4183154
V	ZRP1	SYUS	5130360	2015/12/31	924	2015/04/01	3928464
V	ZRP1	SYUS	5130360	2015/12/31	1053	2015/04/01	3929763
V	ZRP1	SYUS	5130360	2016/12/31	1361	2016/01/01	4182110
V	ZRP1	SYUS	5130411	2015/12/31	924	2015/04/01	3928463
V	ZRP1	SYUS	5130411	2015/12/31	1053	2015/04/01	3929764
V	ZRP1	SYUS	5130411	2016/12/31	1361	2016/01/01	4182111
V	ZRP1	SYUS	5130414	2015/12/31	924	2015/04/01	3928462
V	ZRP1	SYUS	5130414	2015/12/31	1053	2015/04/01	3929765
V	ZRP1	SYUS	5130414	2016/12/31	1361	2016/01/01	4182112
V	ZRP1	SYUS	5132144	2015/12/31	924	2015/04/01	3928465
V	ZRP1	SYUS	5132144	2015/12/31	1053	2015/04/01	3929766
V	ZRP1	SYUS	5132144	2016/12/31	1361	2016/01/01	4182113
V	ZRP1	SYUS	5141467	2015/12/31	900	2015/04/01	3928233
V	ZRP1	SYUS	5141467	2015/12/31	1020	2015/04/01	3929674
V	ZRP1	SYUS	5141467	2016/12/31	1337	2016/01/01	4182047
V	ZRP1	SYUS	5141467	2016/12/31	1415	2016/01/01	4183155
V	ZRP1	SYUS	5141924	2015/12/31	876	2015/04/01	3927945
V	ZRP1	SYUS	5141924	2016/12/31	1313	2016/01/01	4181990
V	ZRP1	SYUS	5143341	2015/12/31	911	2015/04/01	4116562
V	ZRP1	SYUS	5143341	2016/12/31	1348	2016/01/01	4182074
V	ZRP1	SYUS	5148003	2015/12/31	884	2015/04/01	3974262
V	ZRP1	SYUS	5148003	2016/12/31	1321	2016/01/01	4182016
V	ZRP1	SYUS	5148675	2015/12/31	813	2015/04/01	3988939
V	ZRP1	SYUS	5148675	2015/12/31	859	2015/04/01	4040558
V	ZRP1	SYUS	5148675	2016/12/31	1253	2016/01/01	4180833
V	ZRP1	SYUS	5148675	2016/12/31	1298	2016/01/01	4181733
V	ZRP1	SYUS	5152682	2015/12/31	902	2015/04/01	3947313
V	ZRP1	SYUS	5152682	2016/12/31	1339	2016/01/01	4182055
V	ZRP1	SYUS	5152905	2015/12/31	904	2015/04/01	3960080
V	ZRP1	SYUS	5152905	2015/12/31	1055	2015/04/01	3960087
V	ZRP1	SYUS	5152905	2016/12/31	1341	2016/01/01	4182058
V	ZRP1	SYUS	5152905	2016/12/31	1417	2016/01/01	4183168
V	ZRP1	SYUS	5152909	2015/12/31	924	2015/04/01	3947315
V	ZRP1	SYUS	5152909	2016/12/31	1361	2016/01/01	4182107
V	ZRP1	SYUS	5152910	2015/12/31	924	2015/04/01	3947316
V	ZRP1	SYUS	5152910	2016/12/31	1361	2016/01/01	4182108
V	ZRP1	SYUS	5154040	2015/12/31	924	2015/04/01	3947317
V	ZRP1	SYUS	5154040	2016/12/31	1361	2016/01/01	4182109
V	ZRP1	SYUS	5159267	2015/12/31	900	2015/04/01	4003437
V	ZRP1	SYUS	5159267	2015/12/31	1020	2015/04/01	4003445
