KAPPL	KSCHL	VKORG	ZZ_MVGR5	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYCF	AVM	2015/12/31	1117	2015/04/01	0003930085
V	ZRP1	SYCF	AVM	2016/12/31	1403	2016/01/01	0004182874
V	ZRP1	SYCF	AVM	2016/12/31	1444	2016/01/01	0004183551
V	ZRP1	SYCF	BAL	2014/12/31	10083-CF	2014/01/01	0003142342
V	ZRP1	SYCF	BAL	2015/12/31	1138	2015/04/01	0003930144
V	ZRP1	SYCF	BAL	2016/12/31	1465	2016/01/01	0004183731
V	ZRP1	SYCF	BBC	2015/12/31	1079	2015/04/01	0003929907
V	ZRP1	SYCF	BBC	2016/12/31	1421	2016/01/01	0004183229
V	ZRP1	SYCF	BBG	2015/12/31	1079	2015/04/01	0003929908
V	ZRP1	SYCF	BBG	2016/12/31	1421	2016/01/01	0004183230
V	ZRP1	SYCF	BBI	2014/12/31	10015-CF	2014/01/01	0003142064
V	ZRP1	SYCF	BBI	2015/12/31	968	2015/04/01	0003929339
V	ZRP1	SYCF	BBI	2016/12/31	1393	2016/01/01	0004182626
V	ZRP1	SYCF	BD1	2015/12/31	1241	2015/07/27	0004145541
V	ZRP1	SYCF	BD1	2016/12/31	1563	2016/01/01	0004184095
V	ZRP1	SYCF	BER	2014/12/31	10084-CF	2014/01/01	0003142343
V	ZRP1	SYCF	BER	2015/12/31	1174	2015/04/01	0003930277
V	ZRP1	SYCF	BER	2016/12/31	1501	2016/01/01	0004183869
V	ZRP1	SYCF	BHS	2014/12/31	10015-CF	2014/01/01	0003142065
V	ZRP1	SYCF	BHS	2015/12/31	968	2015/04/01	0003929340
V	ZRP1	SYCF	BHS	2016/12/31	1393	2016/01/01	0004182627
V	ZRP1	SYCF	BL1	2014/12/31	10085-CF	2014/01/01	0003142475
V	ZRP1	SYCF	BL1	2015/12/31	1129	2015/04/01	0003930130
V	ZRP1	SYCF	BL1	2016/12/31	1456	2016/01/01	0004183717
V	ZRP1	SYCF	BL2	2014/12/31	10085-CF	2014/01/01	0003142476
V	ZRP1	SYCF	BL2	2015/12/31	1129	2015/04/01	0003930131
V	ZRP1	SYCF	BL2	2016/12/31	1456	2016/01/01	0004183718
V	ZRP1	SYCF	BL3	2014/12/31	10085-CF	2014/01/01	0003142477
V	ZRP1	SYCF	BL3	2015/12/31	1129	2015/04/01	0003930132
V	ZRP1	SYCF	BL3	2016/12/31	1456	2016/01/01	0004183719
V	ZRP1	SYCF	BL4	2014/12/31	10085-CF	2014/01/01	0003142478
V	ZRP1	SYCF	BL4	2015/12/31	1129	2015/04/01	0003930133
V	ZRP1	SYCF	BL4	2016/12/31	1456	2016/01/01	0004183720
V	ZRP1	SYCF	BLU	2014/12/31	10085-CF	2014/01/01	0003142344
V	ZRP1	SYCF	BLU	2015/12/31	1129	2015/04/01	0003930134
V	ZRP1	SYCF	BLU	2016/12/31	1456	2016/01/01	0004183721
V	ZRP1	SYCF	BOD	2014/12/31	10013-CF	2014/01/01	0003142062
V	ZRP1	SYCF	BOD	2015/12/31	967	2015/04/01	0003929336
V	ZRP1	SYCF	BOD	2016/12/31	1392	2016/01/01	0004182599
V	ZRP1	SYCF	BRU	2014/12/31	10086-CF	2014/01/01	0003142345
V	ZRP1	SYCF	BRU	2015/12/31	1127	2015/04/01	0003930123
V	ZRP1	SYCF	BRU	2016/12/31	1454	2016/01/01	0004183709
V	ZRP1	SYCF	CAK	2015/12/31	953	2015/04/01	0003929290
V	ZRP1	SYCF	CAK	2015/12/31	991	2015/04/01	0003949714
V	ZRP1	SYCF	CAK	2015/12/31	1079	2015/04/01	0003929909
V	ZRP1	SYCF	CAK	2016/12/31	1381	2016/01/01	0004182240
V	ZRP1	SYCF	CAK	2016/12/31	1412	2016/01/01	0004183111
V	ZRP1	SYCF	CAK	2016/12/31	1421	2016/01/01	0004183231
V	ZRP1	SYCF	CAL	2014/12/31	10087-CF	2014/01/01	0003142346
V	ZRP1	SYCF	CAL	2015/12/31	1160	2015/04/01	0003930198
V	ZRP1	SYCF	CAL	2016/12/31	1487	2016/01/01	0004183787
V	ZRP1	SYCF	CAR	2014/12/31	10005-CF	2014/01/01	0003149647
V	ZRP1	SYCF	CAR	2015/12/31	952	2015/04/01	0003929277
V	ZRP1	SYCF	CAR	2015/12/31	1079	2015/04/01	0003929910
V	ZRP1	SYCF	CAR	2016/12/31	1380	2016/01/01	0004182239
V	ZRP1	SYCF	CAR	2016/12/31	1421	2016/01/01	0004183232
V	ZRP1	SYCF	CAT	2015/12/31	953	2015/04/01	0003929291
V	ZRP1	SYCF	CAT	2015/12/31	1079	2015/04/01	0003929911
V	ZRP1	SYCF	CAT	2016/12/31	1381	2016/01/01	0004182241
V	ZRP1	SYCF	CAT	2016/12/31	1421	2016/01/01	0004183233
V	ZRP1	SYCF	CCH	2014/12/31	10069-CF	2014/01/01	0003142293
V	ZRP1	SYCF	CCH	2015/12/31	1112	2015/04/01	0003930071
V	ZRP1	SYCF	CCH	2016/05/20	1439	2016/01/01	0004183454
V	ZRP1	SYCF	CCM	2015/12/31	956	2015/04/01	0003929297
V	ZRP1	SYCF	CCM	2015/12/31	981	2015/04/01	0003929490
V	ZRP1	SYCF	CCM	2016/12/31	1384	2016/01/01	0004182246
V	ZRP1	SYCF	CCM	2016/12/31	1403	2016/01/01	0004182875
V	ZRP1	SYCF	CCR	2015/12/31	956	2015/04/01	0003929298
V	ZRP1	SYCF	CCR	2015/12/31	981	2015/04/01	0003929491
V	ZRP1	SYCF	CCR	2016/12/31	1384	2016/01/01	0004182247
V	ZRP1	SYCF	CCR	2016/12/31	1403	2016/01/01	0004182876
V	ZRP1	SYCF	CDD	2014/12/31	10148-CF	2014/01/01	0003142464
V	ZRP1	SYCF	CDD	2015/12/31	1180	2015/04/01	0003930293
V	ZRP1	SYCF	CDD	2016/12/31	1507	2016/01/01	0004183885
V	ZRP1	SYCF	CDM	2014/12/31	10008-CF	2014/01/01	0003142047
V	ZRP1	SYCF	CDM	2015/12/31	956	2015/04/01	0003929299
V	ZRP1	SYCF	CDM	2015/12/31	981	2015/04/01	0003929492
V	ZRP1	SYCF	CDM	2016/12/31	1384	2016/01/01	0004182248
V	ZRP1	SYCF	CDM	2016/12/31	1403	2016/01/01	0004182877
V	ZRP1	SYCF	CDP	2014/12/31	10008-CF	2014/01/01	0003142043
V	ZRP1	SYCF	CDP	2015/12/31	956	2015/04/01	0003929300
