KAPPL	KSCHL	VKORG	ZZ_MVGR5	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYCF	HWC	2014/12/31	10142-CF	2014/01/01	0003142453
V	ZRP1	SYCF	HWC	2015/12/31	985	2015/04/01	0003929556
V	ZRP1	SYCF	HWC	2016/12/31	1407	2016/01/01	0004182968
V	ZRP1	SYCF	HWP	2014/12/31	10142-CF	2014/01/01	0003142445
V	ZRP1	SYCF	HWP	2015/12/31	985	2015/04/01	0003929557
V	ZRP1	SYCF	HWP	2016/12/31	1407	2016/01/01	0004182969
V	ZRP1	SYCF	ID1	2014/12/31	10150-CF	2014/01/01	0003142341
V	ZRP1	SYCF	ID1	2015/12/31	1151	2015/04/01	0003930178
V	ZRP1	SYCF	ID1	2015/12/31	1158	2015/04/01	0003930196
V	ZRP1	SYCF	ID1	2016/12/31	1478	2016/01/01	0004183766
V	ZRP1	SYCF	ID1	2016/12/31	1485	2016/01/01	0004183785
V	ZRP1	SYCF	IP1	2014/12/31	10117-CF	2014/01/01	0003142406
V	ZRP1	SYCF	IP1	2015/12/31	1149	2015/04/01	0003930172
V	ZRP1	SYCF	IP1	2016/12/31	1476	2016/01/01	0004183760
V	ZRP1	SYCF	IP2	2014/12/31	10117-CF	2014/01/01	0003142407
V	ZRP1	SYCF	IP2	2015/12/31	1149	2015/04/01	0003930173
V	ZRP1	SYCF	IP2	2016/12/31	1476	2016/01/01	0004183761
V	ZRP1	SYCF	IP3	2014/12/31	10117-CF	2014/01/01	0003142408
V	ZRP1	SYCF	IP3	2015/12/31	1149	2015/04/01	0003930174
V	ZRP1	SYCF	IP3	2016/12/31	1476	2016/01/01	0004183762
V	ZRP1	SYCF	IP4	2014/12/31	10117-CF	2014/01/01	0003142409
V	ZRP1	SYCF	IP4	2015/12/31	1149	2015/04/01	0003930175
V	ZRP1	SYCF	IP4	2016/12/31	1476	2016/01/01	0004183763
V	ZRP1	SYCF	IPC	2014/12/31	10031-CF	2014/01/01	0003142171
V	ZRP1	SYCF	IPC	2015/12/31	986	2015/04/01	0003929559
V	ZRP1	SYCF	IPC	2015/12/31	1079	2015/04/01	0003929934
V	ZRP1	SYCF	IPC	2016/12/31	1408	2016/01/01	0004182975
V	ZRP1	SYCF	IPC	2016/12/31	1421	2016/01/01	0004183206
V	ZRP1	SYCF	JCA	2015/12/31	1079	2015/04/01	0003929935
V	ZRP1	SYCF	JCA	2015/12/31	1209	2015/04/01	0003944745
V	ZRP1	SYCF	JCA	2016/12/31	1421	2016/01/01	0004183207
V	ZRP1	SYCF	JCA	2016/12/31	1535	2016/01/01	0004184003
V	ZRP1	SYCF	JCD	2014/12/31	10154-CF	2014/06/30	0003782668
V	ZRP1	SYCF	JCD	2015/12/31	1152	2015/04/01	0003930179
V	ZRP1	SYCF	JCD	2016/12/31	1479	2016/01/01	0004183767
V	ZRP1	SYCF	JCK	2015/12/31	1079	2015/04/01	0003929936
V	ZRP1	SYCF	JCK	2015/12/31	1209	2015/04/01	0003944746
V	ZRP1	SYCF	JCK	2016/12/31	1421	2016/01/01	0004183208
V	ZRP1	SYCF	JCK	2016/12/31	1535	2016/01/01	0004184004
V	ZRP1	SYCF	JGD	2015/12/31	1164	2015/04/01	0003930202
V	ZRP1	SYCF	JGD	2016/12/31	1491	2016/01/01	0004183791
V	ZRP1	SYCF	JGM	2014/12/31	10033-CF	2014/01/01	0003142176
V	ZRP1	SYCF	JGM	2015/12/31	981	2015/04/01	0003929523
V	ZRP1	SYCF	JGM	2015/12/31	990	2015/04/01	0003929572
V	ZRP1	SYCF	JGM	2016/12/31	1403	2016/01/01	0004182843
V	ZRP1	SYCF	JGM	2016/12/31	1411	2016/01/01	0004183049
V	ZRP1	SYCF	JGS	2014/12/31	10033-CF	2014/01/01	0003142175
V	ZRP1	SYCF	JGS	2015/12/31	981	2015/04/01	0003929524
V	ZRP1	SYCF	JGS	2015/12/31	990	2015/04/01	0003929573
V	ZRP1	SYCF	JGS	2016/12/31	1403	2016/01/01	0004182844
V	ZRP1	SYCF	JGS	2016/12/31	1411	2016/01/01	0004183050
V	ZRP1	SYCF	JH1	2014/12/31	10106-CF	2014/01/01	0003142375
V	ZRP1	SYCF	JH1	2015/12/31	1156	2015/04/01	0003930188
V	ZRP1	SYCF	JH1	2016/12/31	1483	2016/01/01	0004183777
V	ZRP1	SYCF	JH2	2014/12/31	10106-CF	2014/01/01	0003142376
V	ZRP1	SYCF	JH2	2015/12/31	1156	2015/04/01	0003930189
V	ZRP1	SYCF	JH2	2016/12/31	1483	2016/01/01	0004183778
V	ZRP1	SYCF	JH3	2014/12/31	10106-CF	2014/01/01	0003142377
V	ZRP1	SYCF	JH3	2015/12/31	1156	2015/04/01	0003930190
V	ZRP1	SYCF	JH3	2016/12/31	1483	2016/01/01	0004183779
V	ZRP1	SYCF	JKD	2014/12/31	10032-CF	2014/01/01	0003142173
V	ZRP1	SYCF	JKD	2015/12/31	989	2015/04/01	0003929568
V	ZRP1	SYCF	JKD	2016/01/31	1410	2016/01/01	0004182985
V	ZRP1	SYCF	JKD	2016/07/31	1568	2016/02/01	0004188305
V	ZRP1	SYCF	JKM	2014/12/31	10032-CF	2014/01/01	0003142174
V	ZRP1	SYCF	JKM	2015/12/31	989	2015/04/01	0003929569
V	ZRP1	SYCF	JKM	2016/01/31	1410	2016/01/01	0004182986
V	ZRP1	SYCF	JKM	2016/07/31	1568	2016/02/01	0004188304
V	ZRP1	SYCF	JL1	2014/12/31	10126-CF	2014/01/01	0003142420
V	ZRP1	SYCF	JL1	2015/12/31	1157	2015/04/01	0003930192
V	ZRP1	SYCF	JL1	2016/12/31	1484	2016/01/01	0004183781
V	ZRP1	SYCF	JL2	2014/12/31	10126-CF	2014/01/01	0003142421
V	ZRP1	SYCF	JL2	2015/12/31	1157	2015/04/01	0003930193
V	ZRP1	SYCF	JL2	2016/12/31	1484	2016/01/01	0004183782
V	ZRP1	SYCF	JOH	2014/12/31	10107-CF	2014/01/01	0003142378
V	ZRP1	SYCF	JOH	2015/12/31	1148	2015/04/01	0003930167
V	ZRP1	SYCF	JOH	2016/12/31	1475	2016/01/01	0004183755
V	ZRP1	SYCF	JR3	2014/12/31	10034-CF	2014/01/01	0003142179
V	ZRP1	SYCF	JSD	2014/12/31	10155-CF	2014/06/30	0003782669
V	ZRP1	SYCF	JSD	2015/12/31	1159	2015/04/01	0003930197
V	ZRP1	SYCF	JSD	2016/12/31	1486	2016/01/01	0004183786
V	ZRP1	SYCF	JW1	2015/12/31	1227	2015/06/18	0004008909
V	ZRP1	SYCF	JW1	2016/12/31	1550	2016/01/01	0004184025
V	ZRP1	SYCF	KAH	2015/12/31	980	2015/04/01	0003979078
V	ZRP1	SYCF	KAH	2015/12/31	991	2015/04/01	0003979074
V	ZRP1	SYCF	KAH	2016/12/31	1402	2016/01/01	0004182825
V	ZRP1	SYCF	KAH	2016/12/31	1412	2016/01/01	0004183115
V	ZRP1	SYCF	KAP	2014/12/31	10108-CF	2014/01/01	0003142379
V	ZRP1	SYCF	KAP	2015/12/31	1136	2015/04/01	0003930142
V	ZRP1	SYCF	KAP	2016/12/31	1463	2016/01/01	0004183729
V	ZRP1	SYCF	KAR	2014/12/31	10109-CF	2014/01/01	0003142380
V	ZRP1	SYCF	KAR	2015/12/31	1153	2015/04/01	0003930180
V	ZRP1	SYCF	KAR	2016/12/31	1480	2016/01/01	0004183768
V	ZRP1	SYCF	KAS	2014/12/31	10007-CF	2014/01/01	0003142042
V	ZRP1	SYCF	KAS	2015/12/31	955	2015/04/01	0003929296
V	ZRP1	SYCF	KAS	2015/12/31	991	2015/04/01	0003949712
V	ZRP1	SYCF	KAS	2016/12/31	1383	2016/01/01	0004182245
V	ZRP1	SYCF	KAS	2016/12/31	1412	2016/01/01	0004183112
V	ZRP1	SYCF	KB2	2014/12/31	10076-CF	2014/01/01	0003142322
V	ZRP1	SYCF	KB2	2015/12/31	991	2015/04/01	0003929574
V	ZRP1	SYCF	KB2	2016/12/31	1412	2016/01/01	0004183116
V	ZRP1	SYCF	KBA	2014/12/31	10076-CF	2014/01/01	0003142323
V	ZRP1	SYCF	KBA	2015/12/31	991	2015/04/01	0003929575
V	ZRP1	SYCF	KBA	2016/12/31	1412	2016/01/01	0004183117
V	ZRP1	SYCF	KBB	2014/12/31	10076-CF	2014/01/01	0003142324
V	ZRP1	SYCF	KBB	2015/12/31	991	2015/04/01	0003929576
V	ZRP1	SYCF	KBB	2016/12/31	1412	2016/01/01	0004183118
V	ZRP1	SYCF	KCB	2014/12/31	10076-CF	2014/01/01	0003142321
V	ZRP1	SYCF	KCB	2015/12/31	991	2015/04/01	0003929577
V	ZRP1	SYCF	KCB	2016/12/31	1412	2016/01/01	0004183119
V	ZRP1	SYCF	KCU	2014/12/31	10076-CF	2014/01/01	0003142325
V	ZRP1	SYCF	KCU	2015/12/31	991	2015/04/01	0003929578
V	ZRP1	SYCF	KCU	2016/12/31	1412	2016/01/01	0004183120
V	ZRP1	SYCF	KEM	2014/12/31	10110-CF	2014/01/01	0003142381
V	ZRP1	SYCF	KEM	2015/12/31	1168	2015/04/01	0003930214
V	ZRP1	SYCF	KEM	2016/12/31	1495	2016/01/01	0004183803
V	ZRP1	SYCF	KER	2014/12/31	10035-CF	2014/01/01	0003142181
V	ZRP1	SYCF	KER	2015/12/31	992	2015/04/01	0003929588
V	ZRP1	SYCF	KER	2015/12/31	1079	2015/04/01	0003929937
V	ZRP1	SYCF	KER	2016/12/31	1413	2016/01/01	0004183148
V	ZRP1	SYCF	KER	2016/12/31	1421	2016/01/01	0004183209
V	ZRP1	SYCF	KG8	2015/12/31	991	2015/04/01	0003929579
V	ZRP1	SYCF	KG8	2016/12/31	1412	2016/01/01	0004183121
V	ZRP1	SYCF	KGA	2014/12/31	10076-CF	2014/01/01	0003142320
V	ZRP1	SYCF	KGA	2015/12/31	991	2015/04/01	0003929580
V	ZRP1	SYCF	KGA	2016/12/31	1412	2016/01/01	0004183122
V	ZRP1	SYCF	KMG	2015/12/31	991	2015/04/01	0003949713
V	ZRP1	SYCF	KMG	2016/12/31	1412	2016/01/01	0004183113
V	ZRP1	SYCF	KOM	2014/12/31	10111-CF	2014/01/01	0003142382
V	ZRP1	SYCF	KOM	2015/12/31	1141	2015/04/01	0003930147
V	ZRP1	SYCF	KOM	2016/12/31	1468	2016/01/01	0004183734
V	ZRP1	SYCF	KPA	2014/12/31	10076-CF	2014/01/01	0003142326
V	ZRP1	SYCF	KPA	2015/12/31	991	2015/04/01	0003929581
V	ZRP1	SYCF	KPA	2016/12/31	1412	2016/01/01	0004183123
V	ZRP1	SYCF	KPR	2015/12/31	1201	2015/04/01	0003944707
V	ZRP1	SYCF	KPR	2016/12/31	1527	2016/01/01	0004183960
V	ZRP1	SYCF	KPT	2014/12/31	10076-CF	2014/01/01	0003142327
V	ZRP1	SYCF	KPT	2015/12/31	991	2015/04/01	0003929582
V	ZRP1	SYCF	KPT	2015/12/31	1101	2015/04/01	0003930027
V	ZRP1	SYCF	KPT	2016/12/31	1412	2016/01/01	0004183124
V	ZRP1	SYCF	KPT	2016/12/31	1430	2016/01/01	0004183424
V	ZRP1	SYCF	KSH	2014/12/31	10076-CF	2014/01/01	0003142328
V	ZRP1	SYCF	KSH	2015/12/31	991	2015/04/01	0003929583
V	ZRP1	SYCF	KSH	2016/12/31	1412	2016/01/01	0004183125
V	ZRP1	SYCF	KSI	2014/12/31	10076-CF	2014/01/01	0003142329
V	ZRP1	SYCF	KSI	2015/12/31	991	2015/04/01	0003929584
V	ZRP1	SYCF	KSI	2016/12/31	1412	2016/01/01	0004183126
V	ZRP1	SYCF	KSR	2014/12/31	10076-CF	2014/01/01	0003142330
V	ZRP1	SYCF	KSR	2015/12/31	991	2015/04/01	0003929585
V	ZRP1	SYCF	KSR	2016/12/31	1412	2016/01/01	0004183127
V	ZRP1	SYCF	KSS	2014/12/31	10076-CF	2014/01/01	0003142331
V	ZRP1	SYCF	KSS	2015/12/31	991	2015/04/01	0003929586
V	ZRP1	SYCF	KSS	2016/12/31	1412	2016/01/01	0004183128
V	ZRP1	SYCF	LDM	2014/12/31	10038-CF	2014/01/01	0003142185
V	ZRP1	SYCF	LH1	2014/12/31	10080-CF	2014/01/01	0003142335
V	ZRP1	SYCF	LH1	2015/12/31	1121	2015/04/01	0003930111
V	ZRP1	SYCF	LH1	2016/12/31	1448	2016/01/01	0004183697
V	ZRP1	SYCF	LH2	2014/12/31	10080-CF	2014/01/01	0003142336
V	ZRP1	SYCF	LH2	2015/12/31	1121	2015/04/01	0003930112
V	ZRP1	SYCF	LH2	2016/12/31	1448	2016/01/01	0004183698
V	ZRP1	SYCF	LH3	2014/12/31	10080-CF	2014/01/01	0003142337
V	ZRP1	SYCF	LH3	2015/12/31	1121	2015/04/01	0003930113
V	ZRP1	SYCF	LH3	2016/12/31	1448	2016/01/01	0004183699
V	ZRP1	SYCF	LH4	2014/12/31	10080-CF	2014/01/01	0003142338
V	ZRP1	SYCF	LH4	2015/12/31	1121	2015/04/01	0003930114
V	ZRP1	SYCF	LH4	2016/12/31	1448	2016/01/01	0004183700
V	ZRP1	SYCF	LH5	2015/12/31	1121	2015/04/01	0003930115
V	ZRP1	SYCF	LH5	2016/12/31	1448	2016/01/01	0004183701
V	ZRP1	SYCF	LIM	2014/12/31	10074-CF	2014/01/01	0003142313
V	ZRP1	SYCF	LIM	2015/12/31	981	2015/04/01	0003929525
V	ZRP1	SYCF	LIM	2015/12/31	1117	2015/04/01	0003930086
V	ZRP1	SYCF	LIM	2016/12/31	1403	2016/01/01	0004182845
V	ZRP1	SYCF	LIM	2016/12/31	1444	2016/01/01	0004183552
V	ZRP1	SYCF	LIR	2014/12/31	10112-CF	2014/01/01	0003142383
V	ZRP1	SYCF	LIR	2015/12/31	1167	2015/04/01	0003930213
V	ZRP1	SYCF	LIR	2016/12/31	1494	2016/01/01	0004183802
V	ZRP1	SYCF	LIS	2014/12/31	10074-CF	2014/01/01	0003142304
V	ZRP1	SYCF	LIS	2015/12/31	981	2015/04/01	0003929526
V	ZRP1	SYCF	LIS	2015/12/31	1117	2015/04/01	0003930087
V	ZRP1	SYCF	LIS	2016/12/31	1403	2016/01/01	0004182846
V	ZRP1	SYCF	LIS	2016/12/31	1444	2016/01/01	0004183553
V	ZRP1	SYCF	LOM	2014/12/31	10037-CF	2014/01/01	0003142183
V	ZRP1	SYCF	LOM	2015/12/31	981	2015/04/01	0003929527
V	ZRP1	SYCF	LOM	2016/12/31	1403	2016/01/01	0004182847
V	ZRP1	SYCF	LOR	2014/12/31	10037-CF	2014/01/01	0003142182
V	ZRP1	SYCF	LRQ	2015/12/31	992	2015/04/01	0003929589
V	ZRP1	SYCF	LRQ	2015/12/31	1079	2015/04/01	0003929938
V	ZRP1	SYCF	LRQ	2016/12/31	1413	2016/01/01	0004183149
V	ZRP1	SYCF	LRQ	2016/12/31	1421	2016/01/01	0004183210
V	ZRP1	SYCF	LRW	2015/12/31	992	2015/04/01	0003929590
V	ZRP1	SYCF	LRW	2015/12/31	1079	2015/04/01	0003929939
V	ZRP1	SYCF	LRW	2016/12/31	1413	2016/01/01	0004183150
V	ZRP1	SYCF	LRW	2016/12/31	1421	2016/01/01	0004183211
V	ZRP1	SYCF	LSC	2014/12/31	10008-CF	2014/01/01	0003142045
V	ZRP1	SYCF	LSC	2015/12/31	956	2015/04/01	0003929308
V	ZRP1	SYCF	LSC	2015/12/31	981	2015/04/01	0003929528
V	ZRP1	SYCF	LSC	2016/12/31	1384	2016/01/01	0004182257
V	ZRP1	SYCF	LSC	2016/12/31	1403	2016/01/01	0004182848
V	ZRP1	SYCF	LYP	2014/12/31	10022-CF	2014/01/01	0003142098
V	ZRP1	SYCF	LYP	2015/12/31	977	2015/04/01	0003929435
V	ZRP1	SYCF	LYP	2016/12/31	1399	2016/01/01	0004182819
V	ZRP1	SYCF	MAB	2014/12/31	10080-CF	2014/01/01	0003784403
V	ZRP1	SYCF	MAB	2014/12/31	10137-CF	2014/01/01	0003142438
V	ZRP1	SYCF	MAB	2015/12/31	1121	2015/04/01	0003930116
V	ZRP1	SYCF	MAB	2016/12/31	1448	2016/01/01	0004183702
V	ZRP1	SYCF	MAG	2014/12/31	10039-CF	2014/01/01	0003142186
V	ZRP1	SYCF	MAG	2015/12/31	1014	2015/04/01	0003929657
V	ZRP1	SYCF	MAG	2015/12/31	1079	2015/04/01	0003929940
V	ZRP1	SYCF	MAG	2016/02/28	1414	2016/01/01	0004183151
V	ZRP1	SYCF	MAG	2016/08/31	1571	2016/03/01	0004277727
V	ZRP1	SYCF	MAG	2016/12/31	1421	2016/01/01	0004183212
V	ZRP1	SYCF	MD1	2015/12/31	1202	2015/04/01	0003966541
V	ZRP1	SYCF	MD1	2016/12/31	1528	2016/01/01	0004183992
V	ZRP1	SYCF	MD3	2015/12/31	1202	2015/04/01	0004151654
V	ZRP1	SYCF	MD3	2016/12/31	1528	2016/01/01	0004183995
V	ZRP1	SYCF	MDC	2014/12/31	10143-CF	2014/01/01	0003142457
V	ZRP1	SYCF	MDC	2015/12/31	988	2015/04/01	0003929562
V	ZRP1	SYCF	MDC	2016/12/31	1409	2016/01/01	0004182977
V	ZRP1	SYCF	MDG	2015/12/31	1202	2015/04/01	0003944736
V	ZRP1	SYCF	MDG	2016/12/31	1528	2016/01/01	0004183993
V	ZRP1	SYCF	MDR	2014/12/31	10143-CF	2014/01/01	0003142455
V	ZRP1	SYCF	MDR	2015/12/31	988	2015/04/01	0003929563
V	ZRP1	SYCF	MDR	2016/12/31	1409	2016/01/01	0004182978
V	ZRP1	SYCF	MED	2014/12/31	10133-CF	2014/01/01	0003142434
V	ZRP1	SYCF	MED	2015/12/31	1056	2015/04/01	0003929820
V	ZRP1	SYCF	MED	2015/12/31	1079	2015/04/01	0003929941
V	ZRP1	SYCF	MED	2016/12/31	1418	2016/01/01	0004183176
V	ZRP1	SYCF	MED	2016/12/31	1421	2016/01/01	0004183213
V	ZRP1	SYCF	MEU	2014/12/31	10133-CF	2014/01/01	0003142433
V	ZRP1	SYCF	MEU	2015/12/31	1056	2015/04/01	0003929821
V	ZRP1	SYCF	MEU	2015/12/31	1079	2015/04/01	0003929942
V	ZRP1	SYCF	MEU	2016/12/31	1418	2016/01/01	0004183177
V	ZRP1	SYCF	MEU	2016/12/31	1421	2016/01/01	0004183214
V	ZRP1	SYCF	MFM	2015/12/31	973	2015/04/01	0003929360
V	ZRP1	SYCF	MFM	2016/12/31	1396	2016/01/01	0004182638
V	ZRP1	SYCF	MFR	2015/12/31	973	2015/04/01	0003929361
V	ZRP1	SYCF	MFR	2016/12/31	1396	2016/01/01	0004182639
V	ZRP1	SYCF	MHG	2014/12/31	10132-CF	2014/01/01	0003142431
V	ZRP1	SYCF	MHG	2015/12/31	1024	2015/04/01	0003929687
V	ZRP1	SYCF	MHG	2015/12/31	1079	2015/04/01	0003929943
V	ZRP1	SYCF	MHG	2015/12/31	1199	2015/04/01	0003944696
V	ZRP1	SYCF	MHG	2016/12/31	1416	2016/01/01	0004183162
V	ZRP1	SYCF	MHG	2016/12/31	1421	2016/01/01	0004183215
V	ZRP1	SYCF	MHG	2016/12/31	1525	2016/01/01	0004183957
V	ZRP1	SYCF	MHL	2014/12/31	10132-CF	2014/01/01	0003142432
V	ZRP1	SYCF	MHL	2015/12/31	1024	2015/04/01	0003929688
V	ZRP1	SYCF	MHL	2015/12/31	1079	2015/04/01	0003929944
V	ZRP1	SYCF	MHL	2015/12/31	1199	2015/04/01	0003944697
V	ZRP1	SYCF	MHL	2016/12/31	1416	2016/01/01	0004183163
V	ZRP1	SYCF	MHL	2016/12/31	1421	2016/01/01	0004183216
V	ZRP1	SYCF	MHL	2016/12/31	1525	2016/01/01	0004183958
V	ZRP1	SYCF	MI2	2014/12/31	10040-CF	2014/01/01	0003142192
V	ZRP1	SYCF	MI2	2015/12/31	1069	2015/04/01	0003929868
V	ZRP1	SYCF	MI2	2016/12/31	1420	2016/01/01	0004183193
V	ZRP1	SYCF	MI5	2014/12/31	10040-CF	2014/01/01	0003142189
V	ZRP1	SYCF	MI5	2015/12/31	1069	2015/04/01	0003929869
V	ZRP1	SYCF	MI5	2016/12/31	1420	2016/01/01	0004183194
V	ZRP1	SYCF	MIO	2014/12/31	10040-CF	2014/01/01	0003142191
V	ZRP1	SYCF	MIO	2015/12/31	1069	2015/04/01	0003929870
V	ZRP1	SYCF	MIO	2016/12/31	1420	2016/01/01	0004183195
V	ZRP1	SYCF	MM1	2015/12/31	1079	2015/04/01	0004041492
V	ZRP1	SYCF	MM1	2016/12/31	1421	2016/01/01	0004183201
V	ZRP1	SYCF	MMD	2015/12/31	1212	2015/04/01	0003948591
V	ZRP1	SYCF	MMD	2016/12/31	1537	2016/01/01	0004184009
V	ZRP1	SYCF	MMO	2015/12/31	1212	2015/04/01	0003948590
V	ZRP1	SYCF	MMO	2016/12/31	1537	2016/01/01	0004184010
V	ZRP1	SYCF	MRC	2014/12/31	10040-CF	2014/01/01	0003142194
V	ZRP1	SYCF	MRC	2015/12/31	1069	2015/04/01	0003929871
V	ZRP1	SYCF	MRC	2015/12/31	1079	2015/04/01	0003929945
V	ZRP1	SYCF	MRC	2016/12/31	1420	2016/01/01	0004183196
V	ZRP1	SYCF	MRC	2016/12/31	1421	2016/01/01	0004183217
V	ZRP1	SYCF	MRR	2014/12/31	10040-CF	2014/01/01	0003142193
V	ZRP1	SYCF	MRR	2015/12/31	1069	2015/04/01	0003929872
V	ZRP1	SYCF	MRR	2015/12/31	1079	2015/04/01	0003929946
V	ZRP1	SYCF	MRR	2016/12/31	1420	2016/01/01	0004183197
V	ZRP1	SYCF	MRR	2016/12/31	1421	2016/01/01	0004183218
V	ZRP1	SYCF	MSD	2014/12/31	10143-CF	2014/01/01	0003142456
V	ZRP1	SYCF	MSD	2015/12/31	988	2015/04/01	0003929564
V	ZRP1	SYCF	MSD	2016/12/31	1409	2016/01/01	0004182979
V	ZRP1	SYCF	MSP	2015/12/31	1083	2015/04/01	0003929971
V	ZRP1	SYCF	MSP	2016/12/31	1422	2016/01/01	0004183252
V	ZRP1	SYCF	MSR	2014/12/31	10143-CF	2014/01/01	0003142454
V	ZRP1	SYCF	MSR	2015/12/31	988	2015/04/01	0003929565
V	ZRP1	SYCF	MSR	2016/12/31	1409	2016/01/01	0004182980
V	ZRP1	SYCF	NA1	2014/12/31	10046-CF	2014/01/01	0003142232
V	ZRP1	SYCF	NA1	2015/12/31	1088	2015/04/01	0003929983
V	ZRP1	SYCF	NA1	2016/04/29	1423	2016/01/01	0004183253
V	ZRP1	SYCF	NA2	2014/12/31	10046-CF	2014/01/01	0003142233
V	ZRP1	SYCF	NA2	2015/12/31	1088	2015/04/01	0003929984
V	ZRP1	SYCF	NA2	2016/04/29	1423	2016/01/01	0004183254
V	ZRP1	SYCF	NA3	2014/12/31	10046-CF	2014/01/01	0003142234
V	ZRP1	SYCF	NA3	2015/12/31	1088	2015/04/01	0003929985
V	ZRP1	SYCF	NA3	2016/04/29	1423	2016/01/01	0004183255
V	ZRP1	SYCF	NA4	2014/12/31	10046-CF	2014/01/01	0003142235
V	ZRP1	SYCF	NA4	2015/12/31	1088	2015/04/01	0003929986
V	ZRP1	SYCF	NA4	2016/04/29	1423	2016/01/01	0004183256
V	ZRP1	SYCF	NA5	2014/12/31	10046-CF	2014/01/01	0003142236
V	ZRP1	SYCF	NA5	2015/12/31	1088	2015/04/01	0003929987
V	ZRP1	SYCF	NA5	2016/04/29	1423	2016/01/01	0004183257
V	ZRP1	SYCF	NA6	2014/12/31	10046-CF	2014/01/01	0003142237
V	ZRP1	SYCF	NA6	2015/12/31	1088	2015/04/01	0003929988
V	ZRP1	SYCF	NA6	2016/04/29	1423	2016/01/01	0004183258
V	ZRP1	SYCF	NAI	2014/12/31	10046-CF	2014/01/01	0003142231
V	ZRP1	SYCF	NAI	2015/12/31	1088	2015/04/01	0003929989
V	ZRP1	SYCF	NAI	2016/04/29	1423	2016/01/01	0004183259
V	ZRP1	SYCF	NG1	2015/12/31	1231	2015/06/25	0004034504
V	ZRP1	SYCF	NG1	2016/12/31	1554	2016/01/01	0004184033
V	ZRP1	SYCF	NOU	2014/12/31	10113-CF	2014/01/01	0003142384
V	ZRP1	SYCF	NOU	2015/12/31	1161	2015/04/01	0003930199
V	ZRP1	SYCF	NOU	2016/12/31	1488	2016/01/01	0004183788
V	ZRP1	SYCF	NSG	2014/12/31	10047-CF	2014/01/01	0003142238
V	ZRP1	SYCF	NSG	2015/12/31	1091	2015/04/01	0003929992
V	ZRP1	SYCF	NSG	2016/12/31	1424	2016/01/01	0004183260
V	ZRP1	SYCF	NSM	2014/12/31	10145-CF	2014/01/01	0003142462
V	ZRP1	SYCF	NSM	2015/12/31	1094	2015/04/01	0003929995
V	ZRP1	SYCF	NSM	2016/12/31	1425	2016/01/01	0004183261
V	ZRP1	SYCF	NSR	2014/12/31	10145-CF	2014/01/01	0003142461
V	ZRP1	SYCF	NSR	2015/12/31	1094	2015/04/01	0003929996
V	ZRP1	SYCF	NSR	2016/12/31	1425	2016/01/01	0004183262
V	ZRP1	SYCF	OFT	2014/12/31	10015-CF	2014/01/01	0003142067
V	ZRP1	SYCF	OFT	2015/12/31	968	2015/04/01	0003929342
V	ZRP1	SYCF	OFT	2015/12/31	1079	2015/04/01	0003929947
V	ZRP1	SYCF	OFT	2016/12/31	1393	2016/01/01	0004182629
V	ZRP1	SYCF	OFT	2016/12/31	1421	2016/01/01	0004183219
V	ZRP1	SYCF	OGL	2014/12/31	10114-CF	2014/01/01	0003142391
V	ZRP1	SYCF	OGL	2015/12/31	1169	2015/04/01	0003930251
V	ZRP1	SYCF	OGL	2016/12/31	1496	2016/01/01	0004183831
V	ZRP1	SYCF	OIB	2014/12/31	10134-CF	2014/01/01	0003142437
V	ZRP1	SYCF	OIB	2015/12/31	1096	2015/04/01	0003929998
V	ZRP1	SYCF	OIB	2016/12/31	1426	2016/01/01	0004183327
V	ZRP1	SYCF	OLD	2014/12/31	10114-CF	2014/01/01	0003142386
V	ZRP1	SYCF	OLD	2015/12/31	1169	2015/04/01	0003930252
V	ZRP1	SYCF	OLD	2016/12/31	1496	2016/01/01	0004183832
V	ZRP1	SYCF	OLE	2014/12/31	10114-CF	2014/01/01	0003142385
V	ZRP1	SYCF	OLE	2015/12/31	1169	2015/04/01	0003930253
V	ZRP1	SYCF	OLE	2016/12/31	1496	2016/01/01	0004183833
V	ZRP1	SYCF	OLG	2014/12/31	10114-CF	2014/01/01	0003142390
V	ZRP1	SYCF	OLG	2015/12/31	1169	2015/04/01	0003930254
V	ZRP1	SYCF	OLG	2016/12/31	1496	2016/01/01	0004183834
V	ZRP1	SYCF	OLL	2014/12/31	10114-CF	2014/01/01	0003142388
V	ZRP1	SYCF	OLL	2015/12/31	1169	2015/04/01	0003930255
V	ZRP1	SYCF	OLL	2016/12/31	1496	2016/01/01	0004183835
V	ZRP1	SYCF	OLS	2015/12/31	1169	2015/04/01	0003930256
V	ZRP1	SYCF	OLS	2016/12/31	1496	2016/01/01	0004183836
V	ZRP1	SYCF	OLV	2014/12/31	10114-CF	2014/01/01	0003142389
V	ZRP1	SYCF	OLV	2015/12/31	1169	2015/04/01	0003930257
V	ZRP1	SYCF	OLV	2016/12/31	1496	2016/01/01	0004183837
V	ZRP1	SYCF	OLW	2014/12/31	10114-CF	2014/01/01	0003142387
V	ZRP1	SYCF	OLW	2015/12/31	1169	2015/04/01	0003930258
V	ZRP1	SYCF	OLW	2016/12/31	1496	2016/01/01	0004183838
V	ZRP1	SYCF	ORL	2014/12/31	10115-CF	2014/01/01	0003142403
V	ZRP1	SYCF	OWW	2015/12/31	1169	2015/04/01	0003930259
