CUSTOMER NAME : ,,Kmart - FBW Cutlery,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:  11/09/15,,2015 Fall + Pipeline, ,, , , , , , , ,, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 700 ,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,Brand,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ITEM #  ,   ,   ,    ," 5,105,235 "," 5,113,802 ",   ,   ," 5,119,269 "," 5,119,271 "," 5,119,274 "," 5,135,513 ",   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, DESCRIPTION ,FARBERWARE 8X6 BAMBOO CUTTING BOARD RED EDGES,FARBERWARE 11X14 BAMBOO CUTTING BOARD RED EDGES,FARBERWARE 11X14 BAMBOO CUTTING BOARD BLUE EDGES,FW ULTRA SHARP 22PC SET,FW 17PC TRIPLE RIVET CUTLERY SET RED,"FARBERWARE EDGEKEEPER 3.5"" PARER","FARBERWARE EDGEKEEPER 8"" CHEF KNIFE", FW CLASSIC 8IN CHEF KNIFE,FW CLASSIC 8IN SLICER ,FW CLASSIC 4PC STEAK KNIFE SET ,FW 15PC STAMPED STAINLESS STEEL SET,2PC SHEARS SET ,S/2 SANTOKU  ,S/3 CHEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
