Target March 2016 Kizmos Color End Cap,,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.50,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$1.50,$1.50,$1.50,$2.00,$2.00,$2.00,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,,,,,,,,,,,,,,,,,Target March 2016 Kizmos Color End Cap,,$1.50,$1.50,$1.50,
MISC.,2.50%, $669.75 , $535.80 , $937.65 , $401.85 , $267.90 , $535.80 , $401.85 , $267.90 , $535.80 , $401.85 , $267.90 , $535.80 , $401.85 , $401.85 , $401.85 , $803.70 , $803.70 , $803.70 , $267.90 , $267.90 , $267.90 ," $1,071.60 ", $837.19 , $669.75 , $837.19 ," $1,406.48 "," $1,406.48 "," $1,607.40 "," $1,004.63 "," $1,004.63 "," $1,205.55 ", $803.70 , $803.70 ," $1,004.63 ", $-   , $-   , $-   ," $1,562.75 "," $1,562.75 ", $-   , $893.00 , $893.00 , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $28,754.60 ",MISC.,MISC.,2.50%, $-   , $-   , $-   , $-   
ADVERTISING-CUTLERY/CBDS,0.00%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,ADVERTISING-CUTLERY/CBDS,ADVERTISING-CUTLERY/CBDS,0.00%, $-   , $-   , $-   , $-   
NEW STORES,1.00%, $267.90 , $214.32 , $375.06 , $160.74 , $107.16 , $214.32 , $160.74 , $107.16 , $214.32 , $160.74 , $107.16 , $214.32 , $160.74 , $160.74 , $160.74 , $321.48 , $321.48 , $321.48 , $107.16 , $107.16 , $107.16 , $428.64 , $334.88 , $267.90 , $334.88 , $562.59 , $562.59 , $642.96 , $401.85 , $401.85 , $482.22 , $321.48 , $321.48 , $401.85 , $-   , $-   , $-   , $625.10 , $625.10 , $-   , $357.20 , $357.20 , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $11,501.84 ",NEW STORES,NEW STORES,1.00%, $-   , $-   , $-   , $-   
TOTAL DEDUCTIONS,," $3,951.53 "," $3,161.22 "," $5,532.14 "," $2,370.92 "," $1,580.61 "," $3,161.22 "," $2,370.92 "," $1,580.61 "," $3,161.22 "," $2,370.92 "," $1,580.61 "," $3,161.22 "," $2,370.92 "," $2,370.92 "," $2,370.92 "," $4,741.83 "," $4,741.83 "," $4,741.83 "," $1,580.61 "," $1,580.61 "," $1,580.61 "," $6,322.44 "," $4,939.41 "," $3,951.53 "," $4,939.41 "," $8,298.20 "," $8,298.20 "," $9,483.66 "," $5,927.29 "," $5,927.29 "," $7,112.75 "," $4,741.83 "," $4,741.83 "," $5,927.29 ", $-   , $-   , $-   ," $9,220.23 "," $9,220.23 ", $-   ," $5,268.70 "," $5,268.70 ", $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $169,652.14 ",TOTAL DEDUCTIONS,TOTAL DEDUCTIONS,, $-   , $-   , $-   , $-   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET SALES,," $22,838.48 "," $18,270.78 "," $31,973.87 "," $13,703.09 "," $9,135.39 "," $18,270.78 "," $13,703.09 "," $9,135.39 "," $18,270.78 "," $13,703.09 "," $9,135.39 "," $18,270.78 "," $13,703.09 "," $13,703.09 "," $13,703.09 "," $27,406.17 "," $27,406.17 "," $27,406.17 "," $9,135.39 "," $9,135.39 "," $9,135.39 "," $36,541.56 "," $28,548.09 "," $22,838.48 "," $28,548.09 "," $47,960.80 "," $47,960.80 "," $54,812.34 "," $34,257.71 "," $34,257.71 "," $41,109.26 "," $27,406.17 "," $27,406.17 "," $34,257.71 ", $-   , $-   , $-   ," $53,289.78 "," $53,289.78 ", $-   ," $30,451.30 "," $30,451.30 ", $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $980,531.86 ",NET SALES,NET SALES,, $-   , $-   , $-   , $-   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRETICKETING,0.00%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,PRETICKETING,PRETICKETING,0.00%, $-   , $-   , $-   , $-   
PICK & PACK,0.00%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,PICK & PACK,PICK & PACK,0.00%, $-   , $-   , $-   , $-   
FREIGHT,0.00%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,FREIGHT,FREIGHT,0.00%, $-   , $-   , $-   , $-   
ROYALTY (or as negotiated),0.00%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,ROYALTY (or as negotiated),ROYALTY (or as negotiated),0.00%, $-   , $-   , $-   , $-   
PRODUCT DEVELOPMENT,1.00%, $267.90 , $214.32 , $375.06 , $160.74 , $107.16 , $214.32 , $160.74 , $107.16 , $214.32 , $160.74 , $107.16 , $214.32 , $160.74 , $160.74 , $160.74 , $321.48 , $321.48 , $321.48 , $107.16 , $107.16 , $107.16 , $428.64 , $334.88 , $267.90 , $334.88 , $562.59 , $562.59 , $642.96 , $401.85 , $401.85 , $482.22 , $321.48 , $321.48 , $401.85 , $-   , $-   , $-   , $625.10 , $625.10 , $-   , $357.20 , $357.20 , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $11,501.84 ",PRODUCT DEVELOPMENT,PRODUCT DEVELOPMENT,1.00%, $-   , $-   , $-   , $-   
TERMS,2.20%, $502.45 , $401.96 , $703.43 , $301.47 , $200.98 , $471.50 , $301.47 , $200.98 , $401.96 , $301.47 , $200.98 , $401.96 , $301.47 , $301.47 , $301.47 , $602.94 , $602.94 , $602.94 , $200.98 , $200.98 , $200.98 , $803.91 , $628.06 , $502.45 , $628.06 ," $1,055.14 "," $1,055.14 "," $1,205.87 ", $753.67 , $753.67 , $904.40 , $602.94 , $602.94 , $753.67 , $-   , $-   , $-   ," $1,172.38 "," $1,172.38 ", $-   , $669.93 , $669.93 , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $21,641.25 ",TERMS,TERMS,2.20%, $-   , $-   , $-   , $-   
COMMISSION,2.00%, $535.80 , $428.64 , $750.12 , $321.48 , $182.71 , $428.64 , $321.48 , $214.32 , $428.64 , $321.48 , $214.32 , $428.64 , $321.48 , $321.48 , $321.48 , $642.96 , $642.96 , $642.96 , $214.32 , $214.32 , $214.32 , $857.28 , $669.75 , $535.80 , $669.75 ," $1,125.18 "," $1,125.18 "," $1,285.92 ", $803.70 , $803.70 , $964.44 , $642.96 , $642.96 , $803.70 , $-   , $-   , $-   ," $1,250.20 "," $1,250.20 ", $-   , $714.40 , $714.40 , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $22,972.07 ",COMMISSION,COMMISSION,2.00%, $-   , $-   , $-   , $-   
AUDIT/TESTING,0.00%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,AUDIT/TESTING,AUDIT/TESTING,0.00%, $-   , $-   , $-   , $-   
LANDED COST,," $9,805.14 "," $7,844.11 "," $11,476.84 "," $5,883.08 "," $3,922.06 "," $6,301.01 "," $5,883.08 "," $3,922.06 "," $6,301.01 "," $7,619.08 "," $5,079.38 "," $10,158.77 "," $5,883.08 "," $5,883.08 "," $5,111.53 "," $11,766.17 "," $11,766.17 "," $10,223.06 "," $3,536.28 "," $3,536.28 "," $3,279.10 "," $22,375.01 "," $18,485.10 "," $14,788.08 "," $17,520.66 "," $31,280.00 "," $31,280.00 "," $33,691.10 "," $18,485.10 "," $18,485.10 "," $22,182.12 "," $14,273.71 "," $14,273.71 "," $17,842.14 ", $-   , $-   , $-   ," $30,904.94 "," $30,904.94 ", $-   ," $17,659.97 "," $17,659.97 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $517,272.04 ",LANDED COST,LANDED COST,, $-   , $-   , $-   , $-   
