 700 ,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,Brand,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ITEM #  ,   ,   ,    ," 5,105,235 "," 5,113,802 ",   ,   ," 5,119,269 "," 5,119,271 "," 5,119,274 "," 5,135,513 ",   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, DESCRIPTION ,FARBERWARE 8X6 BAMBOO CUTTING BOARD RED EDGES,FARBERWARE 11X14 BAMBOO CUTTING BOARD RED EDGES,FARBERWARE 11X14 BAMBOO CUTTING BOARD BLUE EDGES,FW ULTRA SHARP 22PC SET,FW 17PC TRIPLE RIVET CUTLERY SET RED,"FARBERWARE EDGEKEEPER 3.5"" PARER","FARBERWARE EDGEKEEPER 8"" CHEF KNIFE", FW CLASSIC 8IN CHEF KNIFE,FW CLASSIC 8IN SLICER ,FW CLASSIC 4PC STEAK KNIFE SET ,FW 15PC STAMPED STAINLESS STEEL SET,2PC SHEARS SET ,S/2 SANTOKU  ,S/3 CHEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, LC ,$0.80 ,$1.27 ,$1.27 ,$6.58 ,$12.06 ,$1.03 ,$1.74 ,$0.79 ,$0.69 ,$1.19 ,$13.20 ,$1.43 ,$1.52 ,$1.80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, open order qty ," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Total Year Units ,3000,8000,7000,8000,8000,2200,4500,13000,10000,8000,10000,6000,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Door Count ,322,600,600,710,600,255,584,977,613,584,977,942,977,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERMS,,2%, $80 , $505 , $505 ," $1,253 "," $2,140 ", $176 , $294 , $336 , $258 , $349 ," $2,868 ", $650 , $650 , $650 ,," $10,713 ",,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.G.S.,,," $3,196 "," $8,428 "," $9,202 "," $52,640 "," $96,480 "," $4,635 "," $7,830 "," $10,270 "," $6,900 "," $10,710 "," $132,000 "," $14,300 "," $15,200 "," $18,000 ",," $389,791 ",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,," $3,276 "," $8,933 "," $9,707 "," $53,893 "," $98,620 "," $4,811 "," $8,124 "," $10,606 "," $7,158 "," $11,059 "," $134,868 "," $14,950 "," $15,850 "," $18,650 ",," $400,504 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,," $2,048.53 "," $24,735.97 "," $23,961.97 "," $29,627.20 "," $44,059.80 "," $6,933.83 "," $11,451.38 "," $11,813.70 "," $10,042.00 "," $12,230.65 "," $56,332.00 "," $28,350.50 "," $27,450.50 "," $24,650.50 ",," $265,088.51 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.M.%,,,38%,73%,71%,35%,31%,59%,59%,53%,58%,53%,29%,65%,63%,57%,,40%,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC,,,$0.94 ,$0.98 ,$1.07 ,$6.58 ,$12.06 ,$1.03 ,$1.74 ,$0.79 ,$0.69 ,$1.19 ,$13.20 ,$1.43 ,$1.52 ,$1.80 ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
