AKTNR,ANZAUF,BOMAT,BOSTA,Exclude,FKWRT,GKWRT,KAPPL,KBETR,KBRUE,KFRST,KLF_KAL,KLF_STG,KMEIN,KNUMA_AG,KNUMA_BO,KNUMA_PI,KNUMA_SQ,KNUMH,KNUMT,KOMXWRT,KONMS,KONWA,KONWS,KOPOS,KPEIN,KRECH,KSCHL,KSPAE,KSTBM,KSTBW,KUMNE,KUMZA,KUNNR,KWAEH,KZBZG,KZNEP,LIFNR,LOEVM_KO,MANDT,MDFLG,MEINS,MIKBAS,MWSK1,MWSK2,MXKBAS,MXWRT,PKWRT,PRSCH,RSWRT,STFKZ,UASTA,UKBAS,VALDT,VALTG,VBEWA,VERTN,VERTT,VKKAL,ZAEHK_IND,ZTERM
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931343, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931344, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931345, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931346, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931347, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931348, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931349, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931350, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931351, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931352, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931353, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931354, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931355, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931356, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931357, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931358, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
