KAPPL	KSCHL	VKORG	ZZ_MVGR5	BRSCH	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYCF	CLR	OP	2016/12/31	1384	2016/01/01	0004182276
V	ZRP1	SYCF	CLR	WC	2015/12/31	956	2015/04/01	0004005666
V	ZRP1	SYCF	CLR	WC	2016/12/31	1384	2016/01/01	0004182277
V	ZRP1	SYCF	CMH	FO	2015/12/31	956	2015/04/01	0004005670
V	ZRP1	SYCF	CMH	FO	2016/12/31	1384	2016/01/01	0004182278
V	ZRP1	SYCF	CMH	LI	2015/12/31	956	2015/04/01	0004005669
V	ZRP1	SYCF	CMH	LI	2016/12/31	1384	2016/01/01	0004182279
V	ZRP1	SYCF	CMH	MA	2015/12/31	956	2015/04/01	0004005673
V	ZRP1	SYCF	CMH	MA	2016/12/31	1384	2016/01/01	0004182280
V	ZRP1	SYCF	CMH	OP	2015/12/31	956	2015/04/01	0004005671
V	ZRP1	SYCF	CMH	OP	2016/12/31	1384	2016/01/01	0004182281
V	ZRP1	SYCF	CMH	WC	2015/12/31	956	2015/04/01	0004005672
V	ZRP1	SYCF	CMH	WC	2016/12/31	1384	2016/01/01	0004182282
V	ZRP1	SYCF	CRM	FO	2015/12/31	956	2015/04/01	0003948561
V	ZRP1	SYCF	CRM	FO	2016/12/31	1384	2016/01/01	0004182267
V	ZRP1	SYCF	CRM	LI	2015/12/31	956	2015/04/01	0003948562
V	ZRP1	SYCF	CRM	LI	2016/12/31	1384	2016/01/01	0004182268
V	ZRP1	SYCF	CRM	MA	2015/12/31	956	2015/04/01	0004005675
V	ZRP1	SYCF	CRM	MA	2016/12/31	1384	2016/01/01	0004182283
V	ZRP1	SYCF	CRM	OP	2015/12/31	956	2015/04/01	0004005676
V	ZRP1	SYCF	CRM	OP	2016/12/31	1384	2016/01/01	0004182284
V	ZRP1	SYCF	CRM	WC	2015/12/31	956	2015/04/01	0004005674
V	ZRP1	SYCF	CRM	WC	2016/12/31	1384	2016/01/01	0004182285
V	ZRP1	SYCF	CRR	FO	2015/12/31	956	2015/04/01	0004005681
V	ZRP1	SYCF	CRR	FO	2016/12/31	1384	2016/01/01	0004182286
V	ZRP1	SYCF	CRR	LI	2015/12/31	956	2015/04/01	0004005677
V	ZRP1	SYCF	CRR	LI	2016/12/31	1384	2016/01/01	0004182287
V	ZRP1	SYCF	CRR	MA	2015/12/31	956	2015/04/01	0004005680
V	ZRP1	SYCF	CRR	MA	2016/12/31	1384	2016/01/01	0004182288
V	ZRP1	SYCF	CRR	OP	2015/12/31	956	2015/04/01	0004005679
V	ZRP1	SYCF	CRR	OP	2016/12/31	1384	2016/01/01	0004182289
V	ZRP1	SYCF	CRR	WC	2015/12/31	956	2015/04/01	0004005678
V	ZRP1	SYCF	CRR	WC	2016/12/31	1384	2016/01/01	0004182290
V	ZRP1	SYCF	CUR	FO	2015/12/31	962	2015/04/01	0003931247
V	ZRP1	SYCF	CUR	FO	2016/12/31	1388	2016/01/01	0004182548
V	ZRP1	SYCF	CUR	LI	2015/12/31	962	2015/04/01	0003947878
V	ZRP1	SYCF	CUR	LI	2016/12/31	1388	2016/01/01	0004182549
V	ZRP1	SYCF	CUR	MA	2015/12/31	962	2015/04/01	0004005708
V	ZRP1	SYCF	CUR	MA	2016/12/31	1388	2016/01/01	0004182550
V	ZRP1	SYCF	CUR	OP	2015/12/31	962	2015/04/01	0003931246
V	ZRP1	SYCF	CUR	OP	2016/12/31	1388	2016/01/01	0004182547
V	ZRP1	SYCF	CUR	WC	2015/12/31	962	2015/04/01	0004005707
V	ZRP1	SYCF	CUR	WC	2016/12/31	1388	2016/01/01	0004182551
V	ZRP1	SYCF	DA1	LI	2015/12/31	1100	2015/04/01	0003948059
V	ZRP1	SYCF	DA1	LI	2016/12/31	1429	2016/01/01	0004183411
V	ZRP1	SYCF	DA1	OP	2015/12/31	1100	2015/04/01	0003947499
V	ZRP1	SYCF	DA1	OP	2016/12/31	1429	2016/01/01	0004183416
V	ZRP1	SYCF	DA3	LI	2015/12/31	1100	2015/04/01	0003948060
V	ZRP1	SYCF	DA3	LI	2016/12/31	1429	2016/01/01	0004183412
V	ZRP1	SYCF	DA3	OP	2015/12/31	1100	2015/04/01	0003947500
V	ZRP1	SYCF	DA3	OP	2016/12/31	1429	2016/01/01	0004183417
V	ZRP1	SYCF	DA5	LI	2015/12/31	1100	2015/04/01	0003948061
V	ZRP1	SYCF	DA5	LI	2016/12/31	1429	2016/01/01	0004183413
V	ZRP1	SYCF	DA5	OP	2015/12/31	1100	2015/04/01	0003947501
V	ZRP1	SYCF	DA5	OP	2016/12/31	1429	2016/01/01	0004183418
V	ZRP1	SYCF	DB1	LI	2015/12/31	1239	2015/10/26	0004145532
V	ZRP1	SYCF	DB1	LI	2016/12/31	1561	2016/01/01	0004184086
V	ZRP1	SYCF	DB1	MA	2015/12/31	1239	2015/10/26	0004145535
V	ZRP1	SYCF	DB1	MA	2016/12/31	1561	2016/01/01	0004184087
V	ZRP1	SYCF	DB1	OP	2015/12/31	1239	2015/10/26	0004145533
V	ZRP1	SYCF	DB1	OP	2016/12/31	1561	2016/01/01	0004184088
V	ZRP1	SYCF	DB1	WC	2015/12/31	1239	2015/10/26	0004145534
V	ZRP1	SYCF	DB1	WC	2016/12/31	1561	2016/01/01	0004184089
V	ZRP1	SYCF	ETR	LI	2015/12/31	1197	2015/04/01	0003947925
